Date,Day,Rooms,OOO,StayOver,Arrivals,DueOut,Available,Group Block,Group Picked Up,TransNGTD,TransGTD,Occupied,OccPercent,RoomRev,RevPAR,ADR,Ppl
1/1/21,Fri,100,0,99,84,77,1, , , , ,99,99.00%,"9,080.47",90.80,91.72,146 / 32
1/2/21,Sat,100,1,94,49,54,5, , , , ,94,94.95%,"8,485.67",85.71,90.27,133 / 13
1/3/21,Sun,100,0,51,35,78,49, , , , ,51,51.00%,"3,812.29",38.12,74.75,66 / 0
1/4/21,Mon,100,0,54,26,23,46, , , , ,54,54.00%,"4,101.90",41.02,75.96,68 / 0
1/5/21,Tue,100,0,60,25,19,40, , , , ,60,61.00%,"4,430.32",44.30,72.63,76 / 0
1/6/21,Wed,100,2,60,29,29,38, , , , ,60,61.22%,"4,450.89",45.42,74.18,72 / 1
1/7/21,Thu,100,2,69,41,32,29, , , , ,69,70.41%,"5,171.48",52.77,74.95,91 / 0
1/8/21,Fri,100,0,87,67,49,13, , , , ,87,87.00%,"7,444.82",74.45,85.57,124 / 5
1/9/21,Sat,100,0,100,72,59,0, , , , ,100,101.00%,"9,305.15",93.05,92.13,144 / 14
1/10/21,Sun,100,0,62,46,84,38, , , , ,62,62.00%,"4,669.12",46.69,75.31,75 / 2
1/11/21,Mon,100,0,59,29,32,41, , , , ,59,59.00%,"4,420.37",44.20,74.92,72 / 1
1/12/21,Tue,100,16,56,25,28,28, , , , ,56,66.67%,"4,088.50",48.67,73.01,66 / 1
1/13/21,Wed,100,1,66,38,28,33, , , , ,66,66.67%,"4,886.69",49.36,74.04,75 / 0
1/14/21,Thu,100,0,100,69,35,0, , , , ,100,100.00%,"8,544.60",85.45,85.45,111 / 0
1/15/21,Fri,100,1,83,59,76,16, , , , ,83,83.84%,"8,086.71",81.68,97.43,105 / 3
1/16/21,Sat,100,0,100,72,55,0, , , , ,100,101.00%,"10,720.13",107.20,106.14,135 / 15
1/17/21,Sun,100,0,88,41,53,12, , , , ,88,88.00%,"7,597.20",75.97,86.33,118 / 7
1/18/21,Mon,100,3,68,40,60,29, , , , ,68,71.13%,"5,043.01",51.99,73.09,87 / 1
1/19/21,Tue,100,3,62,26,32,35, , , , ,62,63.92%,"4,398.14",45.34,70.94,77 / 2
1/20/21,Wed,100,2,62,29,29,36, , , , ,62,63.27%,"4,715.43",48.12,76.06,73 / 3
