"Date","Day","Rooms","OOO","StayOver","Arrivals","DueOut","Available","Group Block","Group Picked Up","TransNGTD","TransGTD","Occupied","OccPercent","RoomRev","RevPAR","ADR","Ppl"
"1/1/22","Sat","100","0","79","61","63","21"," "," "," "," ","79","81.00 %","7,498.66","74.99","92.58","111 / 2"
"1/2/22","Sun","100","1","88","71","62","11"," "," "," "," ","88","88.89 %","7,016.01","70.87","79.73","109 / 3"
"1/3/22","Mon","100","0","93","51","46","7"," "," "," "," ","93","93.00 %","6,843.91","68.44","73.59","117 / 6"
"1/4/22","Tue","100","1","91","38","40","8"," "," "," "," ","91","91.92 %","6,877.81","69.47","75.58","107 / 6"
"1/5/22","Wed","100","1","82","31","40","17"," "," "," "," ","82","82.83 %","6,041.21","61.02","73.67","96 / 2"
"1/6/22","Thu","100","3","84","38","36","13"," "," "," "," ","84","86.60 %","6,400.31","65.98","76.19","105 / 0"
"1/7/22","Fri","100","2","86","74","72","12"," "," "," "," ","86","87.76 %","9,341.14","95.32","108.62","124 / 10"
"1/8/22","Sat","100","0","100","77","63","0"," "," "," "," ","100","100.00 %","10,820.99","108.21","108.21","124 / 19"
"1/9/22","Sun","100","1","61","45","84","38"," "," "," "," ","61","61.62 %","4,635.88","46.83","76.00","76 / 2"
"1/10/22","Mon","100","1","82","52","31","17"," "," "," "," ","82","82.83 %","5,952.30","60.12","72.59","97 / 2"
"1/11/22","Tue","100","3","96","50","36","1"," "," "," "," ","96","98.97 %","7,348.64","75.76","76.55","119 / 4"
"1/12/22","Wed","100","4","94","51","53","2"," "," "," "," ","94","97.92 %","7,410.93","77.20","78.84","115 / 2"
"1/13/22","Thu","100","0","98","54","50","2"," "," "," "," ","98","98.00 %","8,926.08","89.26","91.08","112 / 1"
"1/14/22","Fri","100","0","100","47","45","0"," "," "," "," ","100","100.00 %","10,754.36","107.54","107.54","131 / 2"
"1/15/22","Sat","100","0","100","52","52","0"," "," "," "," ","100","101.00 %","11,239.64","112.40","111.28","112 / 1"
"1/16/22","Sun","100","0","99","82","83","1"," "," "," "," ","99","99.00 %","8,267.70","82.68","83.51","131 / 8"
"1/17/22","Mon","100","0","94","57","62","6"," "," "," "," ","94","94.00 %","7,289.43","72.89","77.55","120 / 2"
"1/18/22","Tue","100","0","98","43","39","2"," "," "," "," ","98","98.00 %","7,447.93","74.48","76.00","118 / 24"
"1/19/22","Wed","100","0","96","49","51","4"," "," "," "," ","96","96.00 %","7,431.82","74.32","77.41","119 / 2"
"1/20/22","Thu","100","0","100","49","45","0"," "," "," "," ","100","100.00 %","8,921.66","89.22","89.22","141 / 0"
"1/21/22","Fri","100","0","91","66","75","9"," "," "," "," ","91","91.00 %","8,173.82","81.74","89.82","132 / 2"
"1/22/22","Sat","100","0","100","76","67","0"," "," "," "," ","100","100.00 %","12,027.68","120.28","120.28","116 / 0"
"1/23/22","Sun","100","2","78","57","79","20"," "," "," "," ","78","79.59 %","5,932.55","60.54","76.06","94 / 0"
"1/24/22","Mon","100","2","85","46","39","13"," "," "," "," ","85","86.73 %","6,321.05","64.50","74.37","106 / 0"
"1/25/22","Tue","100","0","93","50","42","7"," "," "," "," ","93","93.00 %","7,032.90","70.33","75.62","115 / 0"
"1/26/22","Wed","100","0","96","55","52","4"," "," "," "," ","96","96.00 %","7,288.31","72.88","75.92","120 / 2"
"1/27/22","Thu","100","0","99","54","51","1"," "," "," "," ","99","99.00 %","8,641.97","86.42","87.29","120 / 8"
"1/28/22","Fri","100","0","100","78","77","0"," "," "," "," ","100","100.00 %","12,151.53","121.52","121.52","124 / 8"
"1/29/22","Sat","100","0","100","73","73","0"," "," "," "," ","100","100.00 %","12,200.67","122.01","122.01","131 / 14"
"1/30/22","Sun","100","1","63","49","86","36"," "," "," "," ","63","63.64 %","4,794.67","48.43","76.11","84 / 0"
"1/31/22","Mon","100","0","100","75","38","0"," "," "," "," ","100","100.00 %","7,805.83","78.06","78.06","115 / 5"
"2/1/22","Tue","100","0","100","45","45","0"," "," "," "," ","100","100.00 %","7,892.02","78.92","78.92","114 / 1"
"2/2/22","Wed","100","0","97","62","65","3"," "," "," "," ","97","100.00 %","7,485.30","74.85","74.85","123 / 3"
"2/3/22","Thu","100","0","100","67","64","0"," "," "," "," ","100","100.00 %","9,454.77","94.55","94.55","134 / 8"
"2/4/22","Fri","100","0","100","65","65","0"," "," "," "," ","100","100.00 %","11,178.52","111.79","111.79","133 / 10"
"2/5/22","Sat","100","0","100","64","64","0"," "," "," "," ","100","100.00 %","11,222.20","112.22","112.22","130 / 6"
