Date,LOS,Rate,Rate Code,RoomType,Source,Track Code,Occupied,ADR,HolidayName,IsHoliday,DayOfWeekName,IsWeekend
2021-01-01,7,65.0,LPSS,NK,DIRECT,CORPORATE,99,91.72,New Year's Day,1,Friday,0
2021-01-02,1,103.72,SRD Rate,NQQ,CRS,LEISURE,94,90.27,NA,0,Saturday,1
2021-01-03,3,70.0,LNST,NQQ,DIRECT,CORPORATE,51,74.75,NA,0,Sunday,1
2021-01-03,5,70.0,LPSS,NK,DIRECT,CORPORATE,51,74.75,NA,0,Sunday,1
2021-01-03,4,70.0,LBLO,NK,DIRECT,CORPORATE,51,74.75,NA,0,Sunday,1
2021-01-03,1,65.0,LCLC,NQQ,WI,Walk-In,51,74.75,NA,0,Sunday,1
2021-01-03,5,70.0,LBLO,NK,DIRECT,CORPORATE,51,74.75,NA,0,Sunday,1
2021-01-03,9,70.0,LPSS,NQQ,DIRECT,CORPORATE,51,74.75,NA,0,Sunday,1
2021-01-03,5,70.0,LBLO,NK,DIRECT,CORPORATE,51,74.75,NA,0,Sunday,1
2021-01-03,5,65.0,LPSS,SNK,DIRECT,CORPORATE,51,74.75,NA,0,Sunday,1
2021-01-03,6,70.0,LBLO,NK,DIRECT,CORPORATE,51,74.75,NA,0,Sunday,1
2021-01-03,4,70.0,LHSE,NQQ,DIRECT,CORPORATE,51,74.75,NA,0,Sunday,1
2021-01-03,5,65.0,LMTB,NQQ,DIRECT,CORPORATE,51,74.75,NA,0,Sunday,1
2021-01-03,5,70.0,LPSS,NQQ,DIRECT,CORPORATE,51,74.75,NA,0,Sunday,1
2021-01-03,5,70.0,LPSS,NK,DIRECT,CORPORATE,51,74.75,NA,0,Sunday,1
2021-01-03,4,70.0,LPSS,NQQ,DIRECT,CORPORATE,51,74.75,NA,0,Sunday,1
2021-01-03,5,70.0,LBLO,NK,DIRECT,CORPORATE,51,74.75,NA,0,Sunday,1
2021-01-04,1,103.72,SRD Rate,NK,CRS,LEISURE,54,75.96,NA,0,Monday,0
2021-01-04,4,70.0,LBLO,SNK,WI,CORPORATE,54,75.96,NA,0,Monday,0
2021-01-04,4,70.0,LPSS,NQQ,WI,CORPORATE,54,75.96,NA,0,Monday,0
2021-01-04,4,70.0,LPSR,NK,WI,CORPORATE,54,75.96,NA,0,Monday,0
2021-01-05,1,65.0,LCLC,SNK,WI,CORPORATE,60,72.63,NA,0,Tuesday,0
2021-01-05,1,65.0,LCLC,NK,WI,LEISURE,60,72.63,NA,0,Tuesday,0
2021-01-05,1,70.0,LPSR,SNK,WI,CORPORATE,60,72.63,NA,0,Tuesday,0
2021-01-05,1,65.0,LCLC,SNK,WI,CORPORATE,60,72.63,NA,0,Tuesday,0
2021-01-05,1,70.0,LBLREP,NQQ,WI,CORPORATE,60,72.63,NA,0,Tuesday,0
2021-01-05,1,70.0,LPSR,NQQ,WI,CORPORATE,60,72.63,NA,0,Tuesday,0
2021-01-06,1,103.72,SRD Rate,NQQ,CRS,LEISURE,60,74.18,NA,0,Wednesday,0
2021-01-06,1,70.0,LBLREP,NK,WI,CORPORATE,60,74.18,NA,0,Wednesday,0
2021-01-06,1,103.72,SRD Rate,NQQ,CRS,LEISURE,60,74.18,NA,0,Wednesday,0
2021-01-06,1,103.72,SRD Rate,SNK,CRS,LEISURE,60,74.18,NA,0,Wednesday,0
2021-01-06,1,65.0,LCLC,NK,CRS,CORPORATE,60,74.18,NA,0,Wednesday,0
2021-01-06,1,65.0,LCLC,NK,WI,CORPORATE,60,74.18,NA,0,Wednesday,0
2021-01-06,4,70.0,LPSR,SNK,WI,CORPORATE,60,74.18,NA,0,Wednesday,0
2021-01-06,8,70.0,LPSS,SNK,WI,CORPORATE,60,74.18,NA,0,Wednesday,0
2021-01-07,1,65.0,LCLC,NQQ,CRS,CORPORATE,69,74.95,NA,0,Thursday,0
2021-01-07,1,70.0,LPSR,NQQ,DIRECT,CORPORATE,69,74.95,NA,0,Thursday,0
2021-01-07,1,65.0,LCLC,NQQ,CRS,CORPORATE,69,74.95,NA,0,Thursday,0
2021-01-07,1,70.0,LPSR,NQQ,WI,CORPORATE,69,74.95,NA,0,Thursday,0
2021-01-07,2,70.0,LPSR,NQQ,WI,CORPORATE,69,74.95,NA,0,Thursday,0
2021-01-07,1,65.0,LCLC,NK,CRS,CORPORATE,69,74.95,NA,0,Thursday,0
2021-01-07,1,103.72,SRD Rate,NK,CRS,LEISURE,69,74.95,NA,0,Thursday,0
2021-01-07,1,103.72,SRD Rate,SNQQ1,CRS,LEISURE,69,74.95,NA,0,Thursday,0
2021-01-07,7,70.0,LPSS,NQQ,DIRECT,CORPORATE,69,74.95,NA,0,Thursday,0
2021-01-07,1,65.0,LCLC,NK,CRS,CORPORATE,69,74.95,NA,0,Thursday,0
2021-01-08,7,70.0,LPSR,NQQ,DIRECT,CORPORATE,87,85.57,NA,0,Friday,0
2021-01-08,7,70.0,LPSS,NK,DIRECT,CORPORATE,87,85.57,NA,0,Friday,0
2021-01-08,1,103.72,SRD Rate,NK,CRS,CORPORATE,87,85.57,NA,0,Friday,0
2021-01-08,1,70.0,LPSR,NQQ,WI,CORPORATE,87,85.57,NA,0,Friday,0
2021-01-08,2,70.0,LPSR,NK,DIRECT,CORPORATE,87,85.57,NA,0,Friday,0
2021-01-09,1,103.72,SRD Rate,NQQ,CRS,CORPORATE,100,92.13,NA,0,Saturday,1
