,Year,Month,Days,DayOfWeek,IsWeekend,IsHoliday,Nights,Type,RateCode,TrackCode,Occupied,ADR,Rate
0,2022,10,31,0,0,0,4,2,68,0,81,76.61,40.0
1,2022,9,29,3,0,0,1,2,55,1,100,88.65,110.3
2,2022,5,13,4,0,0,2,6,0,1,100,115.42,159.0
3,2022,5,25,2,0,0,2,7,78,0,100,88.4,96.75
4,2022,6,24,4,0,0,1,2,4,0,100,128.01,70.0
5,2022,9,27,1,0,0,1,2,24,0,100,83.68,70.0
6,2022,11,11,4,0,0,1,2,0,1,100,137.21,149.0
7,2022,10,22,5,1,0,1,6,58,3,100,136.45,239.0
8,2022,6,24,4,0,0,4,3,5,0,100,128.01,65.0
9,2022,3,6,6,1,0,5,6,25,0,83,80.13,70.0
10,2022,8,28,6,1,0,1,3,0,1,88,79.88,108.7
11,2022,12,17,5,1,0,1,3,0,0,79,127.26,169.0
12,2022,5,23,0,0,0,1,7,64,1,88,85.5,98.8
13,2022,3,12,5,1,0,1,3,64,0,100,149.7,202.73
14,2022,9,2,4,0,0,2,2,21,1,100,127.68,96.85
15,2022,6,8,2,0,0,1,3,0,0,100,92.36,119.0
16,2022,11,1,1,0,0,1,3,5,0,99,86.5,65.0
17,2022,7,18,0,0,0,1,2,61,1,100,85.2,105.4
18,2021,8,23,0,0,0,1,5,5,0,96,76.81,65.0
19,2022,10,11,1,0,0,1,3,50,3,99,90.13,117.1
20,2022,3,18,4,0,0,2,3,1,1,98,141.58,139.0
21,2022,6,23,3,0,0,3,2,48,1,100,105.87,143.5
22,2022,8,18,3,0,0,1,6,64,1,100,86.65,98.8
23,2022,8,10,2,0,0,1,3,20,1,100,79.82,64.35
24,2021,8,26,3,0,0,3,7,1,1,100,89.88,120.0
25,2022,5,29,6,1,0,1,3,64,1,74,92.14,98.8
26,2022,7,29,4,0,0,2,2,52,1,100,144.11,143.1
27,2021,5,16,6,1,0,5,5,19,0,85,77.11,70.0
28,2022,4,16,5,1,0,1,2,0,1,100,113.29,139.0
29,2022,6,2,3,0,0,1,2,0,1,99,103.86,82.55
30,2022,11,11,4,0,0,2,2,0,1,100,137.21,139.0
31,2022,1,31,0,0,0,1,5,30,1,100,78.06,90.54
32,2021,4,13,1,0,0,1,2,24,0,82,76.78,70.0
33,2021,3,19,4,0,0,2,2,1,1,100,96.58,100.0
34,2022,8,24,2,0,0,2,2,5,0,98,84.68,65.0
35,2022,8,15,0,0,0,1,5,78,1,100,84.22,89.25
36,2021,6,15,1,0,0,2,7,103,1,100,83.78,85.0
37,2022,9,26,0,0,0,1,3,41,3,100,83.7,75.56
38,2022,11,13,6,1,0,1,2,18,0,62,76.89,71.25
39,2022,1,15,5,1,0,1,2,0,1,100,111.28,129.0
40,2022,10,17,0,0,0,1,2,5,0,99,84.11,65.0
41,2022,11,9,2,0,0,2,7,1,1,100,89.3,115.0
42,2022,2,13,6,1,0,1,3,15,0,82,83.81,100.0
43,2022,7,25,0,0,0,2,3,32,1,99,88.52,88.06
44,2021,12,27,0,0,0,1,6,104,1,99,85.63,90.0
45,2022,2,12,5,1,0,1,2,68,0,100,119.43,40.0
46,2022,5,26,3,0,0,1,3,20,1,100,94.61,79.82
47,2022,1,3,0,0,0,1,5,5,1,93,73.59,65.0
48,2022,7,21,3,0,0,1,3,0,3,100,94.72,119.0
49,2021,12,20,0,0,0,4,3,19,1,96,75.93,70.0
50,2022,12,25,6,1,0,1,3,0,1,94,83.73,80.0
51,2022,6,13,0,0,0,5,3,5,0,100,93.27,65.0
52,2022,8,22,0,0,0,1,3,5,3,96,84.63,65.0
53,2022,3,30,2,0,0,1,2,72,1,100,84.31,100.32
54,2021,8,29,6,1,0,5,3,25,0,88,89.59,70.0
55,2022,8,7,6,1,0,1,2,0,0,92,87.99,109.0
56,2022,12,3,5,1,0,2,3,1,1,99,133.03,120.0
57,2022,5,2,0,0,0,1,2,24,0,85,81.53,70.0
58,2022,11,1,1,0,0,1,7,24,0,99,86.5,70.0
59,2022,8,1,0,0,0,1,0,4,0,81,85.57,70.0
60,2022,4,21,3,0,0,3,3,1,1,100,96.94,125.0
61,2022,11,11,4,0,0,2,2,0,1,100,137.21,139.0
62,2022,4,13,2,0,0,1,3,0,4,100,84.24,99.0
63,2022,1,20,3,0,0,2,2,104,3,100,89.22,115.9
64,2022,3,5,5,1,0,1,2,24,0,100,132.36,70.0
65,2022,9,3,5,1,0,1,2,58,3,100,132.69,149.0
66,2022,5,26,3,0,0,1,2,106,4,100,94.61,119.52
67,2022,9,24,5,1,0,2,3,0,1,100,160.05,129.0
68,2022,1,31,0,0,0,1,7,15,0,100,78.06,90.0
69,2022,9,23,4,0,0,1,2,0,1,100,147.46,229.0
70,2022,12,10,5,1,0,1,2,58,3,99,148.0,149.0
71,2021,12,23,3,0,0,8,2,64,1,73,76.78,94.05
72,2022,8,29,0,0,0,1,2,50,1,93,81.64,102.6
73,2022,6,19,6,1,0,1,1,58,3,90,84.33,86.2
74,2022,5,20,4,0,0,1,2,0,1,100,125.44,149.0
75,2022,6,7,1,0,0,1,3,0,0,100,102.87,117.9
76,2022,2,2,2,0,0,1,3,41,1,97,74.85,76.5
77,2022,3,15,1,0,0,1,2,58,1,93,77.62,95.0
78,2022,3,22,1,0,0,1,2,0,1,99,86.83,80.0
79,2022,7,29,4,0,0,2,5,72,3,100,144.11,192.72
80,2021,6,20,6,1,0,12,6,3,0,83,82.54,70.0
81,2022,7,13,2,0,0,3,2,9,0,100,104.96,99.96
82,2021,2,21,6,1,0,2,5,1,1,100,105.86,125.0
83,2022,1,7,4,0,0,4,2,106,4,86,108.62,89.1
84,2022,5,11,2,0,0,5,6,64,1,100,76.22,98.8
85,2022,11,26,5,1,0,1,2,104,3,97,109.18,149.0
86,2022,6,27,0,0,0,4,3,3,0,95,84.45,70.0
87,2022,2,24,3,0,0,1,6,3,0,100,98.85,70.0
88,2022,8,12,4,0,0,2,3,20,1,99,109.71,84.5
89,2022,8,20,5,1,0,1,7,0,1,100,100.31,129.0
90,2022,6,2,3,0,0,3,2,0,4,99,103.86,129.0
91,2022,5,22,6,1,0,1,2,28,1,80,81.14,67.5
92,2022,8,31,2,0,0,1,3,21,1,95,79.46,80.6
93,2022,11,5,5,1,0,1,5,103,3,96,112.5,85.0
94,2022,12,26,0,0,0,5,3,25,0,99,82.32,70.0
95,2022,7,17,6,1,0,1,3,18,1,95,98.81,74.25
96,2022,4,8,4,0,0,1,2,24,0,100,136.23,70.0
97,2022,10,9,6,1,0,1,3,21,1,100,79.53,55.25
98,2022,9,14,2,0,0,1,3,21,0,100,82.88,74.1
99,2022,12,2,4,0,0,2,3,94,1,66,99.37,118.15
100,2021,4,13,1,0,0,1,7,5,4,82,76.78,65.0
101,2022,10,28,4,0,0,3,3,58,3,95,168.05,167.9
102,2022,1,17,0,0,0,1,3,4,0,94,77.55,70.0
103,2022,7,1,4,0,0,2,3,78,3,100,124.75,111.75
104,2022,10,27,3,0,0,2,3,0,3,96,90.77,134.0
105,2022,6,2,3,0,0,4,2,64,0,99,103.86,122.55
106,2021,5,21,4,0,0,3,1,24,0,100,105.12,70.0
107,2022,11,16,2,0,0,1,3,64,1,91,84.23,93.0
108,2022,12,9,4,0,0,1,3,21,1,89,103.1,70.85
109,2021,9,3,4,0,0,1,3,9,3,100,103.53,102.94
110,2022,12,13,1,0,0,4,2,24,0,78,81.45,70.0
111,2022,2,12,5,1,0,1,6,107,1,100,119.43,127.2
112,2021,10,25,0,0,0,3,3,1,1,100,91.41,110.0
113,2021,6,18,4,0,1,2,3,1,1,94,120.05,89.0
114,2022,6,30,3,0,0,1,3,3,0,100,91.59,70.0
115,2021,11,2,1,0,0,3,2,5,0,100,80.91,65.0
116,2022,9,1,3,0,0,1,7,103,1,100,85.45,85.0
117,2022,5,24,1,0,0,1,2,5,0,100,86.61,65.0
118,2022,11,10,3,0,0,1,5,58,3,96,90.7,109.0
119,2022,12,5,0,0,0,1,3,104,3,100,100.87,134.0
120,2022,12,10,5,1,0,1,3,72,3,99,148.0,131.12
121,2022,6,9,3,0,0,1,3,24,0,100,96.16,70.0
122,2022,7,17,6,1,0,0,3,5,1,95,98.81,65.0
123,2021,2,12,4,0,0,1,3,1,1,95,104.41,105.0
124,2022,2,9,2,0,0,1,3,20,1,83,77.53,52.0
125,2022,4,11,0,0,0,1,3,42,1,88,82.45,84.15
126,2022,12,3,5,1,0,1,3,58,3,99,133.03,149.0
127,2022,8,26,4,0,0,1,2,58,1,100,111.28,95.0
128,2022,2,17,3,0,0,1,2,3,0,100,116.42,70.0
129,2022,11,29,1,0,0,1,2,5,1,74,81.3,65.0
130,2022,11,18,4,0,0,1,0,21,0,99,129.02,126.1
131,2022,3,5,5,1,0,1,2,64,1,100,132.36,154.23
132,2022,5,20,4,0,0,1,3,20,1,100,125.44,96.85
133,2022,7,29,4,0,0,2,3,104,1,100,144.11,169.0
134,2022,11,17,3,0,0,1,2,0,1,90,85.09,100.0
135,2022,2,9,2,0,0,1,3,64,1,83,77.53,76.0
136,2022,9,11,6,1,0,3,2,0,1,94,79.22,80.0
137,2022,9,1,3,0,0,1,6,64,1,100,85.45,99.75
138,2022,4,9,5,1,0,1,3,0,0,100,125.3,164.0
139,2022,8,16,1,0,0,1,3,20,1,100,84.0,67.6
140,2022,6,2,3,0,0,1,5,24,0,99,103.86,70.0
141,2022,7,1,4,0,0,2,3,0,1,100,124.75,149.0
142,2022,9,9,4,0,0,1,2,21,0,100,99.83,74.1
143,2022,9,9,4,0,0,1,3,0,1,100,99.83,95.0
144,2022,11,11,4,0,0,1,2,1,1,100,137.21,149.0
145,2022,7,5,1,0,0,3,3,0,0,93,93.76,70.0
146,2022,2,11,4,0,0,3,2,24,0,100,119.76,70.0
147,2022,5,7,5,1,0,1,7,9,1,100,125.34,107.26
148,2022,6,19,6,1,0,5,2,25,0,90,84.33,70.0
149,2022,8,5,4,0,0,1,5,58,0,100,119.15,169.0
150,2022,3,27,6,1,0,1,3,0,1,63,79.46,80.0
151,2022,5,21,5,1,0,2,2,106,3,100,131.73,125.1
152,2022,7,15,4,0,0,1,2,106,0,100,135.93,152.1
153,2022,5,18,2,0,0,1,5,0,1,100,85.9,124.05
154,2022,12,20,1,0,0,2,3,37,0,76,88.01,82.21
155,2021,2,15,0,0,1,4,2,25,0,93,69.71,70.0
156,2022,8,31,2,0,0,1,5,21,0,95,79.46,61.75
157,2022,8,26,4,0,0,2,2,1,1,100,111.28,125.0
158,2022,5,14,5,1,0,1,7,103,1,100,125.86,85.0
