,Month,week_number,DayOfWeek,IsWeekend,IsHoliday,Nights,Type,RateCode,TrackCode,Occupied,ADR,Rate
0,1,4,5,1,0,1,3,1,1,100,120.28,125
1,1,5,1,0,0,1,7,107,3,93,75.62,76
2,1,2,2,0,0,1,1,64,1,82,73.67,81
3,1,2,0,0,0,1,3,9,1,93,73.59,75
4,1,3,3,0,0,1,3,24,0,98,91.08,70
5,1,5,0,0,0,1,1,64,1,85,74.37,86
6,1,5,5,1,0,1,2,25,0,100,122.01,70
7,1,4,6,1,0,1,1,58,3,99,83.51,99
8,1,2,2,0,0,1,2,0,1,82,73.67,90
9,1,2,5,1,0,1,3,1,1,100,108.21,89
10,1,5,1,0,0,1,2,0,1,93,75.62,85
11,1,4,1,0,0,1,7,0,0,98,76.0,89
12,1,5,5,1,0,1,2,0,1,100,122.01,109
13,1,6,6,1,0,1,3,20,1,63,76.11,55
14,1,4,6,1,0,1,3,72,1,99,83.51,106
15,1,5,2,0,0,1,2,58,1,96,75.92,85
16,1,5,3,0,0,1,2,58,1,99,87.29,99
17,1,4,2,0,0,2,3,1,1,96,77.41,115
18,1,5,6,1,0,3,2,3,0,78,76.06,70
19,1,5,0,0,0,4,3,9,1,85,74.37,77
20,1,4,6,1,0,1,5,0,0,99,83.51,118
21,1,3,1,0,0,1,7,103,0,96,76.55,85
22,1,2,4,0,0,1,1,64,1,86,108.62,152
23,1,2,3,0,0,1,2,0,4,84,76.19,90
24,1,5,5,1,0,1,3,9,1,100,122.01,129
25,1,5,1,0,0,1,3,64,1,93,75.62,96
26,1,2,5,1,0,1,3,0,1,100,108.21,109
27,1,4,6,1,0,1,3,0,0,99,83.51,103
28,1,1,5,1,0,1,3,0,1,79,92.58,90
29,1,4,4,0,0,1,7,33,1,91,89.82,126
30,1,2,1,0,0,2,2,5,1,91,75.58,65
31,1,5,1,0,0,3,3,103,1,93,75.62,85
32,1,5,0,0,0,2,3,64,1,85,74.37,88
33,1,3,0,0,0,1,3,64,0,82,72.59,76
34,1,4,0,0,0,1,2,0,1,94,77.55,90
35,1,2,5,1,0,1,2,28,1,100,108.21,74
36,1,2,5,1,0,1,2,64,3,100,108.21,152
37,1,2,2,0,0,1,3,20,1,82,73.67,55
38,1,2,0,0,0,2,5,64,1,93,73.59,86
39,1,4,6,1,0,1,2,0,0,99,83.51,113
40,1,4,1,0,0,1,2,9,1,98,76.0,83
